author,category,date,excerpt,link,title
Tristan Dresbach,Student Works,"Oct 22, 2018",What characteristics maximize the probability of a successful Kickstarter Campaign? I. ABSTRACT Kickstarter is one of the most popular...,https://nycdatascience.com/blog/student-works/building-a-successful-kickstarter-campaign/,Building a Successful Kickstarter Campaign
"Yulia Norenko,Howard Chang,Lavanya Gupta,Silvia Lu",Machine Learning,"Aug 28, 2018","Intuitively, which of the four houses in the picture do you think is the most expensive? Most...",https://nycdatascience.com/blog/student-works/housing-price-prediction-using-advanced-regression-analysis/,Predicting House Prices with Machine Learning Algorithms
Yulia Norenko,R Shiny,"Jul 28, 2018","Background U.S. healthcare costs have been on the rise over the past several years, outpacing the growth of...",https://nycdatascience.com/blog/student-works/variation-in-hospital-charges-and-medicare-payments-for-inpatient-procedures-in-the-united-states/,Variation in Hospital Charges and Medicare Payments for Inpatient Procedures in the United States
Lukas Frei,Student Works,"Oct 23, 2018","Introduction As a self-proclaimed tech-enthusiast, I've been following the tech review community, especially on YouTube, for quite a...",https://nycdatascience.com/blog/student-works/does-apples-fixed-iphone-release-schedule-hurt-its-customer-satisfaction/,Does Apple’s Fixed iPhone Release Schedule Hurt Its Customer Satisfaction?
Siyuan Li,R,"Oct 22, 2018",Introduction: The purpose of this Shiny web app is to better advise clients in residential property investments in...,https://nycdatascience.com/blog/student-works/residential-property-investment-visualization-and-analysis-shiny-app/,Residential Property Investment Visualization and Analysis Shiny App
Jialan Zhu,Student Works,"Oct 22, 2018","Introduction and Motivation People with similar attributes tend to get together and become a group. Hence, each group...",https://nycdatascience.com/blog/student-works/a-glance-of-group-differences-through-movie-rating-preferences/,A Glance of Group Differences Through Movie Rating Preferences
SangYeon Choi,Student Works,"Oct 21, 2018",NBA New Season has Begun! The NBA which had a lot of issues at stove league just opened....,https://nycdatascience.com/blog/student-works/will-the-nba-players-salary-contribute-to-the-teams-win/,Will the NBA Player's salary contribute to the team’s Win?
Raymond Liang,R,"Oct 20, 2018","Background: For some people, dating might be intuitive and even second nature, but for others the idea of...",https://nycdatascience.com/blog/student-works/exploring-predictors-of-dating-success/,Exploring Attributes of Dating Success
Vivian Zhang,Community,"Oct 11, 2018","On September 26th, our bootcamp graduates had the opportunity to have a glimpse into their future. Over 50...",https://nycdatascience.com/blog/community/hiring-partner-event-at-nyc-data-science-academy-september-26th-2018/,"Hiring Partner Event at NYC Data Science Academy, September 26th 2018"
Lavanya Gupta,R Shiny,"Sep 26, 2018",Motivation We all love food; and we all talk about it a lot. There are myriad of datasets...,https://nycdatascience.com/blog/student-works/characterising-the-culinary-footprint-of-world-cuisines/,Characterising Culinary Footprint of World Cuisines
Yulia Norenko,Web Scraping,"Aug 8, 2018",Android is the dominant mobile operating system today with about 85% of all mobile devices running Google’s OS....,https://nycdatascience.com/blog/student-works/web-scraping/analysis-of-apps-in-the-google-play-store/,Analysis of Apps in the Google Play Store
